Nama Restoran,Preferensi Makanan,Alamat,Lokasi Restoran (longitude),Lokasi Restoran (latitude),Rating Toko,Jam Buka,Jam tutup,Variasi Makanan,Foto Link
"Lotek Gado-Gado Bu Ning, Tamansiswa",Indonesia,"Gg. Pronocitro No.719, Wirogunan, Kec. Mergangsan, Yogyakarta",110.3793132,-7.803783609,4.7,9:30,20:00,"Aneka nasi, Ayam & bebek, Bakso & soto",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgk6Wyy5mVvGni0EnQ5bGzoYIGt8jiRstu9U-ivnRUS9_pO4PalABx9AX5XbgQeE3iZKX1ROa0_Jip39P2cvnlYa0lIDze9Py2bxDlnEnQy_zTRYwklUeCl96CIWhU8BupKC3wURbdscHY/s1600/DSCN8405.JPG
"Nasi Bakar Lagi Dan Mendoan Jumbo",Indonesia,"Jl. Sorogenen No.10, Sorosutan, Kec. Umbulharjo, Yogyakarta",110.3832603,-7.8252333,4.7,0:00,23:59,"Jajanan, Aneka nasi, Bakso & soto",https://lh5.googleusercontent.com/p/AF1QipOqttt2Wg98cubp_TxJXLCg7zhzBdv3DeOGJj8g
"Nasi Liwet dan Lontong Opor, Dapoer Girli",Indonesia,"Jl. Tegal Panggung No.30, Danurejan, Yogyakarta",110.3710772,-7.795033188,4.8,5:00,17:00,"Aneka nasi, Ayam & bebek, Jajanan",https://lh3.googleusercontent.com/p/AF1QipMSXWhO1HNtAZ4rpeZQg6RkQZNl_aDCC8zPbbJb=s680-w680-h510
"Olive Fried Chicken, Jalan Bantul",Indonesia,"Jl. Bantul Km 10, Bantul, Yogyakarta",110.3354309,-7.875712009,4.9,9:00,21:00,"Nasi Ayam, minuman",https://lh3.googleusercontent.com/p/AF1QipN38JNQNYLftZm72HHO5_1yJEaEPACPBBD0lgd3=s680-w680-h510
"Oseng Mercon Bu Yanti, Gedongtengen",Indonesia,"Jl. Kaliurang, Lodadi, Ngemplak, Sleman Yogyakarta",110.4188434,-7.688512558,3.6,8:00,20:00,"Ayam & bebek, Aneka nasi, Cepat saji",https://lh3.googleusercontent.com/p/AF1QipNzfHoTwex-qFFJWNTY-By29v_JPhhuLafRkdIK=s1360-w1360-h1020
"Gudeg Yu Narni, Stasiun Lempuyangan",Indonesia,"Jl. Lempuyangan No.4, Bausasran, Kec. Danurejan, Yogyakarta",110.3748535,-7.790463347,4.6,5:00,20:00,Aneka nasi,https://arifsetiawan.com/wp-content/uploads/2022/01/Gudeg-Yu-Narni-1-1024x768.jpg
"Nasi Kapau Uda Jack",Indonesia,"Jl. Cenderawasih No.32 B, Kabupaten Sleman,  Yogyakarta",110.3886499,-7.7794092,4.8,7:00,21:00,"Aneka nasi, Cepat saji, Seafood",https://ugc.production.linktr.ee/UJqF65cTYyExnENZqPsd_3NZl29FodFD2TRRc
"Ayam Bakar Tamsis 2, Mergangsan",Indonesia,"Jl. Taman Siswa Blok, Gg. MG II No.719, Mergangsan, Yogyakarta",110.3796001,-7.8039612,4.8,9:00,21:45,"Aneka nasi, Ayam & bebek",https://makankeliling.com/wp-content/uploads/2015/10/lokasi_ayam_bakar_taman_siswa_yogyakarta_makankeliling.jpg
"Tahu Gimbal Pak Yono, Tentara Pelajar",Indonesia,"Jl. Tentara Rakyat Mataram No.35, Bumijo, Kec. Jetis, Yogyakarta",110.3574224,-7.786404535,4.9,7:30,17:00,"Ayam & bebek, Bakso & soto, Aneka nasi",https://lh3.googleusercontent.com/p/AF1QipOm9M9BKBZF9h4SqewQp93W8b0LSPp7oLHseNHN=s1360-w1360-h1020
"Sop Buntut & Ayam Goreng Cokro, Tegalrejo",Indonesia,"Jl. HOS Cokroaminoto No.161, Tegalrejo, Kec. Tegalrejo, Yogyakarta",110.3537565,-7.789446685,4.9,9:00,20:00,"Ayam & bebek, Bakso & soto, Aneka nasi",https://lh3.googleusercontent.com/p/AF1QipNRbhvR7e9_dcDLurAVf_dGpGANZ1ftqlQq4-wg=s1360-w1360-h1020
"Penyetan Mas Kobis, Tugu",Indonesia,"Jl. Prof. DR. Sardjito, Jetis, Yogyakarta",110.3667316,-7.776241018,4.8,11:15,20:45,"Aneka nasi, Ayam & bebek",https://www.serbajogja.com/modules/news/images/640ec704d2335.jpg
"Ayam Rempah Mas Bangkit, Wirobrajan",Indonesia,"Jl.Singojayan No.61, Pakuncen, Wirobrajan, Yogyakarta",110.350211,-7.791751063,4.1,9:00,19:00,"Ayam & bebek, Minuman, Jajanan",https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/f6429347-3b76-4323-8a5d-3cb65f1f3d81_Go-Biz_20230822_210431.jpeg